user_profile,project_id,project_title,user_techs,project_techs,features,enhanced_score,label
React 초급자,16,Kubernetes 클러스터 구축,"['html', 'javascript', 'react']","['aws', 'docker', 'jenkins', 'kubernetes', 'terraform']",[0.0],0.03,0
React 초급자,17,Python ML 추천시스템,"['html', 'javascript', 'react']","['fastapi', 'numpy', 'pandas', 'python', 'scikit learn', 'tensorflow']",[0.0],0.03,0
React 중급자,1,React 기반 쇼핑몰 개발,"['javascript', 'react', 'typescript', 'node.js']","['express', 'mongodb', 'node.js', 'react', 'typescript']",[0.5],0.4656,1
React 중급자,2,Vue3 + Nuxt 포트폴리오 사이트,"['javascript', 'react', 'typescript', 'node.js']","['nuxt.js', 'tailwind css', 'typescript', 'vue.js']",[0.14285714285714285],0.177,1
React 중급자,3,Django REST API 서버 구축,"['javascript', 'react', 'typescript', 'node.js']","['django', 'docker', 'postgresql', 'python', 'redis']",[0.0],0.03,0
React 중급자,4,Spring Boot 마이크로서비스,"['javascript', 'react', 'typescript', 'node.js']","['docker', 'java', 'kubernetes', 'postgresql', 'spring boot']",[0.0],0.03,0
React 중급자,5,Node.js 실시간 채팅 앱,"['javascript', 'react', 'typescript', 'node.js']","['express', 'mongodb', 'node.js', 'redis', 'socket.io']",[0.125],0.1541,1
React 중급자,6,React Native 투두 앱,"['javascript', 'react', 'typescript', 'node.js']","['expo', 'firebase', 'react native', 'typescript']",[0.14285714285714285],0.177,1
React 중급자,7,Flutter 전자상거래 앱,"['javascript', 'react', 'typescript', 'node.js']","['dart', 'firebase', 'flutter', 'sqlite']",[0.0],0.03,0
React 중급자,8,FastAPI 비동기 웹서버,"['javascript', 'react', 'typescript', 'node.js']","['fastapi', 'postgresql', 'python', 'redis', 'sqlalchemy']",[0.0],0.03,0
React 중급자,9,Angular 관리자 대시보드,"['javascript', 'react', 'typescript', 'node.js']","['angular', 'chart.js', 'material ui', 'rxjs', 'typescript']",[0.125],0.1608,1
React 중급자,10,SvelteKit 블로그 플랫폼,"['javascript', 'react', 'typescript', 'node.js']","['prisma', 'sqlite', 'svelte', 'sveltekit', 'typescript']",[0.125],0.1608,1
React 중급자,11,Go 마이크로서비스 API,"['javascript', 'react', 'typescript', 'node.js']","['docker', 'gin', 'go', 'grpc', 'postgresql']",[0.0],0.03,0
React 중급자,12,.NET Core 웹 애플리케이션,"['javascript', 'react', 'typescript', 'node.js']","['.net core', 'azure', 'c#', 'entity framework', 'sql server']",[0.0],0.03,0
React 중급자,13,Laravel CMS 시스템,"['javascript', 'react', 'typescript', 'node.js']","['blade', 'eloquent orm', 'laravel', 'mysql', 'php']",[0.0],0.03,0
React 중급자,14,Rust 고성능 웹서버,"['javascript', 'react', 'typescript', 'node.js']","['actix web', 'diesel', 'postgresql', 'redis', 'rust']",[0.0],0.03,0
React 중급자,15,Unity 2D 인디게임,"['javascript', 'react', 'typescript', 'node.js']","['blender', 'c#', 'unity', 'visual scripting']",[0.0],0.03,0
React 중급자,16,Kubernetes 클러스터 구축,"['javascript', 'react', 'typescript', 'node.js']","['aws', 'docker', 'jenkins', 'kubernetes', 'terraform']",[0.0],0.03,0
React 중급자,17,Python ML 추천시스템,"['javascript', 'react', 'typescript', 'node.js']","['fastapi', 'numpy', 'pandas', 'python', 'scikit learn', 'tensorflow']",[0.0],0.03,0
React 고급자,1,React 기반 쇼핑몰 개발,"['javascript', 'react', 'node.js', 'typescript', 'redux']","['express', 'mongodb', 'node.js', 'react', 'typescript']",[0.42857142857142855],0.4056,1
React 고급자,2,Vue3 + Nuxt 포트폴리오 사이트,"['javascript', 'react', 'node.js', 'typescript', 'redux']","['nuxt.js', 'tailwind css', 'typescript', 'vue.js']",[0.125],0.1565,1
React 고급자,3,Django REST API 서버 구축,"['javascript', 'react', 'node.js', 'typescript', 'redux']","['django', 'docker', 'postgresql', 'python', 'redis']",[0.0],0.03,0
React 고급자,4,Spring Boot 마이크로서비스,"['javascript', 'react', 'node.js', 'typescript', 'redux']","['docker', 'java', 'kubernetes', 'postgresql', 'spring boot']",[0.0],0.03,0
React 고급자,5,Node.js 실시간 채팅 앱,"['javascript', 'react', 'node.js', 'typescript', 'redux']","['express', 'mongodb', 'node.js', 'redis', 'socket.io']",[0.1111111111111111],0.1425,0
React 고급자,6,React Native 투두 앱,"['javascript', 'react', 'node.js', 'typescript', 'redux']","['expo', 'firebase', 'react native', 'typescript']",[0.125],0.1565,1
React 고급자,7,Flutter 전자상거래 앱,"['javascript', 'react', 'node.js', 'typescript', 'redux']","['dart', 'firebase', 'flutter', 'sqlite']",[0.0],0.03,0
React 고급자,8,FastAPI 비동기 웹서버,"['javascript', 'react', 'node.js', 'typescript', 'redux']","['fastapi', 'postgresql', 'python', 'redis', 'sqlalchemy']",[0.0],0.03,0
React 고급자,9,Angular 관리자 대시보드,"['javascript', 'react', 'node.js', 'typescript', 'redux']","['angular', 'chart.js', 'material ui', 'rxjs', 'typescript']",[0.1111111111111111],0.1425,0
React 고급자,10,SvelteKit 블로그 플랫폼,"['javascript', 'react', 'node.js', 'typescript', 'redux']","['prisma', 'sqlite', 'svelte', 'sveltekit', 'typescript']",[0.1111111111111111],0.1425,0
React 고급자,11,Go 마이크로서비스 API,"['javascript', 'react', 'node.js', 'typescript', 'redux']","['docker', 'gin', 'go', 'grpc', 'postgresql']",[0.0],0.03,0
React 고급자,12,.NET Core 웹 애플리케이션,"['javascript', 'react', 'node.js', 'typescript', 'redux']","['.net core', 'azure', 'c#', 'entity framework', 'sql server']",[0.0],0.03,0
React 고급자,13,Laravel CMS 시스템,"['javascript', 'react', 'node.js', 'typescript', 'redux']","['blade', 'eloquent orm', 'laravel', 'mysql', 'php']",[0.0],0.03,0
React 고급자,14,Rust 고성능 웹서버,"['javascript', 'react', 'node.js', 'typescript', 'redux']","['actix web', 'diesel', 'postgresql', 'redis', 'rust']",[0.0],0.03,0
React 고급자,15,Unity 2D 인디게임,"['javascript', 'react', 'node.js', 'typescript', 'redux']","['blender', 'c#', 'unity', 'visual scripting']",[0.0],0.03,0
React 고급자,16,Kubernetes 클러스터 구축,"['javascript', 'react', 'node.js', 'typescript', 'redux']","['aws', 'docker', 'jenkins', 'kubernetes', 'terraform']",[0.0],0.03,0
React 고급자,17,Python ML 추천시스템,"['javascript', 'react', 'node.js', 'typescript', 'redux']","['fastapi', 'numpy', 'pandas', 'python', 'scikit learn', 'tensorflow']",[0.0],0.03,0
Vue 초급자,1,React 기반 쇼핑몰 개발,"['html', 'javascript', 'vue.js']","['express', 'mongodb', 'node.js', 'react', 'typescript']",[0.0],0.03,0
Vue 초급자,2,Vue3 + Nuxt 포트폴리오 사이트,"['html', 'javascript', 'vue.js']","['nuxt.js', 'tailwind css', 'typescript', 'vue.js']",[0.16666666666666666],0.194,1
Vue 초급자,3,Django REST API 서버 구축,"['html', 'javascript', 'vue.js']","['django', 'docker', 'postgresql', 'python', 'redis']",[0.0],0.03,0
Vue 초급자,4,Spring Boot 마이크로서비스,"['html', 'javascript', 'vue.js']","['docker', 'java', 'kubernetes', 'postgresql', 'spring boot']",[0.0],0.03,0
Vue 초급자,5,Node.js 실시간 채팅 앱,"['html', 'javascript', 'vue.js']","['express', 'mongodb', 'node.js', 'redis', 'socket.io']",[0.0],0.03,0
Vue 초급자,6,React Native 투두 앱,"['html', 'javascript', 'vue.js']","['expo', 'firebase', 'react native', 'typescript']",[0.0],0.03,0
Vue 초급자,7,Flutter 전자상거래 앱,"['html', 'javascript', 'vue.js']","['dart', 'firebase', 'flutter', 'sqlite']",[0.0],0.03,0
Vue 초급자,8,FastAPI 비동기 웹서버,"['html', 'javascript', 'vue.js']","['fastapi', 'postgresql', 'python', 'redis', 'sqlalchemy']",[0.0],0.03,0
Vue 초급자,9,Angular 관리자 대시보드,"['html', 'javascript', 'vue.js']","['angular', 'chart.js', 'material ui', 'rxjs', 'typescript']",[0.0],0.03,0
Vue 초급자,10,SvelteKit 블로그 플랫폼,"['html', 'javascript', 'vue.js']","['prisma', 'sqlite', 'svelte', 'sveltekit', 'typescript']",[0.0],0.03,0
Vue 초급자,11,Go 마이크로서비스 API,"['html', 'javascript', 'vue.js']","['docker', 'gin', 'go', 'grpc', 'postgresql']",[0.0],0.03,0
Vue 초급자,12,.NET Core 웹 애플리케이션,"['html', 'javascript', 'vue.js']","['.net core', 'azure', 'c#', 'entity framework', 'sql server']",[0.0],0.03,0
Vue 초급자,13,Laravel CMS 시스템,"['html', 'javascript', 'vue.js']","['blade', 'eloquent orm', 'laravel', 'mysql', 'php']",[0.0],0.03,0
Vue 초급자,14,Rust 고성능 웹서버,"['html', 'javascript', 'vue.js']","['actix web', 'diesel', 'postgresql', 'redis', 'rust']",[0.0],0.03,0
Vue 초급자,15,Unity 2D 인디게임,"['html', 'javascript', 'vue.js']","['blender', 'c#', 'unity', 'visual scripting']",[0.0],0.03,0
Vue 초급자,16,Kubernetes 클러스터 구축,"['html', 'javascript', 'vue.js']","['aws', 'docker', 'jenkins', 'kubernetes', 'terraform']",[0.0],0.03,0
Vue 초급자,17,Python ML 추천시스템,"['html', 'javascript', 'vue.js']","['fastapi', 'numpy', 'pandas', 'python', 'scikit learn', 'tensorflow']",[0.0],0.03,0
Vue 중급자,1,React 기반 쇼핑몰 개발,"['javascript', 'vue.js', 'typescript', 'nuxt.js']","['express', 'mongodb', 'node.js', 'react', 'typescript']",[0.125],0.1608,1
Vue 중급자,2,Vue3 + Nuxt 포트폴리오 사이트,"['javascript', 'vue.js', 'typescript', 'nuxt.js']","['nuxt.js', 'tailwind css', 'typescript', 'vue.js']",[0.6],0.5321,1
Vue 중급자,3,Django REST API 서버 구축,"['javascript', 'vue.js', 'typescript', 'nuxt.js']","['django', 'docker', 'postgresql', 'python', 'redis']",[0.0],0.03,0
Vue 중급자,4,Spring Boot 마이크로서비스,"['javascript', 'vue.js', 'typescript', 'nuxt.js']","['docker', 'java', 'kubernetes', 'postgresql', 'spring boot']",[0.0],0.03,0
Vue 중급자,5,Node.js 실시간 채팅 앱,"['javascript', 'vue.js', 'typescript', 'nuxt.js']","['express', 'mongodb', 'node.js', 'redis', 'socket.io']",[0.0],0.03,0
Vue 중급자,6,React Native 투두 앱,"['javascript', 'vue.js', 'typescript', 'nuxt.js']","['expo', 'firebase', 'react native', 'typescript']",[0.14285714285714285],0.177,1
Vue 중급자,7,Flutter 전자상거래 앱,"['javascript', 'vue.js', 'typescript', 'nuxt.js']","['dart', 'firebase', 'flutter', 'sqlite']",[0.0],0.03,0
Vue 중급자,8,FastAPI 비동기 웹서버,"['javascript', 'vue.js', 'typescript', 'nuxt.js']","['fastapi', 'postgresql', 'python', 'redis', 'sqlalchemy']",[0.0],0.03,0
Vue 중급자,9,Angular 관리자 대시보드,"['javascript', 'vue.js', 'typescript', 'nuxt.js']","['angular', 'chart.js', 'material ui', 'rxjs', 'typescript']",[0.125],0.1608,1
Vue 중급자,10,SvelteKit 블로그 플랫폼,"['javascript', 'vue.js', 'typescript', 'nuxt.js']","['prisma', 'sqlite', 'svelte', 'sveltekit', 'typescript']",[0.125],0.1608,1
Vue 중급자,11,Go 마이크로서비스 API,"['javascript', 'vue.js', 'typescript', 'nuxt.js']","['docker', 'gin', 'go', 'grpc', 'postgresql']",[0.0],0.03,0
Vue 중급자,12,.NET Core 웹 애플리케이션,"['javascript', 'vue.js', 'typescript', 'nuxt.js']","['.net core', 'azure', 'c#', 'entity framework', 'sql server']",[0.0],0.03,0
Vue 중급자,13,Laravel CMS 시스템,"['javascript', 'vue.js', 'typescript', 'nuxt.js']","['blade', 'eloquent orm', 'laravel', 'mysql', 'php']",[0.0],0.03,0
Vue 중급자,14,Rust 고성능 웹서버,"['javascript', 'vue.js', 'typescript', 'nuxt.js']","['actix web', 'diesel', 'postgresql', 'redis', 'rust']",[0.0],0.03,0
Vue 중급자,15,Unity 2D 인디게임,"['javascript', 'vue.js', 'typescript', 'nuxt.js']","['blender', 'c#', 'unity', 'visual scripting']",[0.0],0.03,0
Vue 중급자,16,Kubernetes 클러스터 구축,"['javascript', 'vue.js', 'typescript', 'nuxt.js']","['aws', 'docker', 'jenkins', 'kubernetes', 'terraform']",[0.0],0.03,0
Vue 중급자,17,Python ML 추천시스템,"['javascript', 'vue.js', 'typescript', 'nuxt.js']","['fastapi', 'numpy', 'pandas', 'python', 'scikit learn', 'tensorflow']",[0.0],0.03,0
Python Django 개발자,1,React 기반 쇼핑몰 개발,"['django', 'python', 'postgresql', 'redis']","['express', 'mongodb', 'node.js', 'react', 'typescript']",[0.0],0.03,0
Python Django 개발자,2,Vue3 + Nuxt 포트폴리오 사이트,"['django', 'python', 'postgresql', 'redis']","['nuxt.js', 'tailwind css', 'typescript', 'vue.js']",[0.0],0.03,0
Python Django 개발자,3,Django REST API 서버 구축,"['django', 'python', 'postgresql', 'redis']","['django', 'docker', 'postgresql', 'python', 'redis']",[0.8],0.6663,1
Python Django 개발자,4,Spring Boot 마이크로서비스,"['django', 'python', 'postgresql', 'redis']","['docker', 'java', 'kubernetes', 'postgresql', 'spring boot']",[0.125],0.1608,1
Python Django 개발자,5,Node.js 실시간 채팅 앱,"['django', 'python', 'postgresql', 'redis']","['express', 'mongodb', 'node.js', 'redis', 'socket.io']",[0.125],0.1541,1
Python Django 개발자,6,React Native 투두 앱,"['django', 'python', 'postgresql', 'redis']","['expo', 'firebase', 'react native', 'typescript']",[0.0],0.03,0
Python Django 개발자,7,Flutter 전자상거래 앱,"['django', 'python', 'postgresql', 'redis']","['dart', 'firebase', 'flutter', 'sqlite']",[0.0],0.03,0
Python Django 개발자,8,FastAPI 비동기 웹서버,"['django', 'python', 'postgresql', 'redis']","['fastapi', 'postgresql', 'python', 'redis', 'sqlalchemy']",[0.5],0.4656,1
Python Django 개발자,9,Angular 관리자 대시보드,"['django', 'python', 'postgresql', 'redis']","['angular', 'chart.js', 'material ui', 'rxjs', 'typescript']",[0.0],0.03,0
Python Django 개발자,10,SvelteKit 블로그 플랫폼,"['django', 'python', 'postgresql', 'redis']","['prisma', 'sqlite', 'svelte', 'sveltekit', 'typescript']",[0.0],0.03,0
Python Django 개발자,11,Go 마이크로서비스 API,"['django', 'python', 'postgresql', 'redis']","['docker', 'gin', 'go', 'grpc', 'postgresql']",[0.125],0.1608,1
Python Django 개발자,12,.NET Core 웹 애플리케이션,"['django', 'python', 'postgresql', 'redis']","['.net core', 'azure', 'c#', 'entity framework', 'sql server']",[0.0],0.03,0
Python Django 개발자,13,Laravel CMS 시스템,"['django', 'python', 'postgresql', 'redis']","['blade', 'eloquent orm', 'laravel', 'mysql', 'php']",[0.0],0.03,0
Python Django 개발자,14,Rust 고성능 웹서버,"['django', 'python', 'postgresql', 'redis']","['actix web', 'diesel', 'postgresql', 'redis', 'rust']",[0.2857142857142857],0.2991,1
Python Django 개발자,15,Unity 2D 인디게임,"['django', 'python', 'postgresql', 'redis']","['blender', 'c#', 'unity', 'visual scripting']",[0.0],0.03,0
Python Django 개발자,16,Kubernetes 클러스터 구축,"['django', 'python', 'postgresql', 'redis']","['aws', 'docker', 'jenkins', 'kubernetes', 'terraform']",[0.0],0.03,0
Python Django 개발자,17,Python ML 추천시스템,"['django', 'python', 'postgresql', 'redis']","['fastapi', 'numpy', 'pandas', 'python', 'scikit learn', 'tensorflow']",[0.1111111111111111],0.149,0
Python FastAPI 개발자,1,React 기반 쇼핑몰 개발,"['fastapi', 'python', 'postgresql', 'sqlalchemy']","['express', 'mongodb', 'node.js', 'react', 'typescript']",[0.0],0.03,0
Python FastAPI 개발자,2,Vue3 + Nuxt 포트폴리오 사이트,"['fastapi', 'python', 'postgresql', 'sqlalchemy']","['nuxt.js', 'tailwind css', 'typescript', 'vue.js']",[0.0],0.03,0
Python FastAPI 개발자,3,Django REST API 서버 구축,"['fastapi', 'python', 'postgresql', 'sqlalchemy']","['django', 'docker', 'postgresql', 'python', 'redis']",[0.2857142857142857],0.3037,1
Python FastAPI 개발자,4,Spring Boot 마이크로서비스,"['fastapi', 'python', 'postgresql', 'sqlalchemy']","['docker', 'java', 'kubernetes', 'postgresql', 'spring boot']",[0.125],0.1597,1
Python FastAPI 개발자,5,Node.js 실시간 채팅 앱,"['fastapi', 'python', 'postgresql', 'sqlalchemy']","['express', 'mongodb', 'node.js', 'redis', 'socket.io']",[0.0],0.03,0
Python FastAPI 개발자,6,React Native 투두 앱,"['fastapi', 'python', 'postgresql', 'sqlalchemy']","['expo', 'firebase', 'react native', 'typescript']",[0.0],0.03,0
Python FastAPI 개발자,7,Flutter 전자상거래 앱,"['fastapi', 'python', 'postgresql', 'sqlalchemy']","['dart', 'firebase', 'flutter', 'sqlite']",[0.0],0.03,0
Python FastAPI 개발자,8,FastAPI 비동기 웹서버,"['fastapi', 'python', 'postgresql', 'sqlalchemy']","['fastapi', 'postgresql', 'python', 'redis', 'sqlalchemy']",[0.8],0.6689,1
Python FastAPI 개발자,9,Angular 관리자 대시보드,"['fastapi', 'python', 'postgresql', 'sqlalchemy']","['angular', 'chart.js', 'material ui', 'rxjs', 'typescript']",[0.0],0.03,0
Python FastAPI 개발자,10,SvelteKit 블로그 플랫폼,"['fastapi', 'python', 'postgresql', 'sqlalchemy']","['prisma', 'sqlite', 'svelte', 'sveltekit', 'typescript']",[0.0],0.03,0
Python FastAPI 개발자,11,Go 마이크로서비스 API,"['fastapi', 'python', 'postgresql', 'sqlalchemy']","['docker', 'gin', 'go', 'grpc', 'postgresql']",[0.125],0.1597,1
Python FastAPI 개발자,12,.NET Core 웹 애플리케이션,"['fastapi', 'python', 'postgresql', 'sqlalchemy']","['.net core', 'azure', 'c#', 'entity framework', 'sql server']",[0.0],0.03,0
Python FastAPI 개발자,13,Laravel CMS 시스템,"['fastapi', 'python', 'postgresql', 'sqlalchemy']","['blade', 'eloquent orm', 'laravel', 'mysql', 'php']",[0.0],0.03,0
Python FastAPI 개발자,14,Rust 고성능 웹서버,"['fastapi', 'python', 'postgresql', 'sqlalchemy']","['actix web', 'diesel', 'postgresql', 'redis', 'rust']",[0.125],0.1597,1
Python FastAPI 개발자,15,Unity 2D 인디게임,"['fastapi', 'python', 'postgresql', 'sqlalchemy']","['blender', 'c#', 'unity', 'visual scripting']",[0.0],0.03,0
Python FastAPI 개발자,16,Kubernetes 클러스터 구축,"['fastapi', 'python', 'postgresql', 'sqlalchemy']","['aws', 'docker', 'jenkins', 'kubernetes', 'terraform']",[0.0],0.03,0
Python FastAPI 개발자,17,Python ML 추천시스템,"['fastapi', 'python', 'postgresql', 'sqlalchemy']","['fastapi', 'numpy', 'pandas', 'python', 'scikit learn', 'tensorflow']",[0.25],0.2771,1
Node.js 개발자,1,React 기반 쇼핑몰 개발,"['express', 'javascript', 'node.js', 'mongodb']","['express', 'mongodb', 'node.js', 'react', 'typescript']",[0.5],0.4656,1
Node.js 개발자,2,Vue3 + Nuxt 포트폴리오 사이트,"['express', 'javascript', 'node.js', 'mongodb']","['nuxt.js', 'tailwind css', 'typescript', 'vue.js']",[0.0],0.03,0
Node.js 개발자,3,Django REST API 서버 구축,"['express', 'javascript', 'node.js', 'mongodb']","['django', 'docker', 'postgresql', 'python', 'redis']",[0.0],0.03,0
Node.js 개발자,4,Spring Boot 마이크로서비스,"['express', 'javascript', 'node.js', 'mongodb']","['docker', 'java', 'kubernetes', 'postgresql', 'spring boot']",[0.0],0.03,0
Node.js 개발자,5,Node.js 실시간 채팅 앱,"['express', 'javascript', 'node.js', 'mongodb']","['express', 'mongodb', 'node.js', 'redis', 'socket.io']",[0.5],0.4656,1
Node.js 개발자,6,React Native 투두 앱,"['express', 'javascript', 'node.js', 'mongodb']","['expo', 'firebase', 'react native', 'typescript']",[0.0],0.03,0
Node.js 개발자,7,Flutter 전자상거래 앱,"['express', 'javascript', 'node.js', 'mongodb']","['dart', 'firebase', 'flutter', 'sqlite']",[0.0],0.03,0
Node.js 개발자,8,FastAPI 비동기 웹서버,"['express', 'javascript', 'node.js', 'mongodb']","['fastapi', 'postgresql', 'python', 'redis', 'sqlalchemy']",[0.0],0.03,0
Node.js 개발자,9,Angular 관리자 대시보드,"['express', 'javascript', 'node.js', 'mongodb']","['angular', 'chart.js', 'material ui', 'rxjs', 'typescript']",[0.0],0.03,0
Node.js 개발자,10,SvelteKit 블로그 플랫폼,"['express', 'javascript', 'node.js', 'mongodb']","['prisma', 'sqlite', 'svelte', 'sveltekit', 'typescript']",[0.0],0.03,0
Node.js 개발자,11,Go 마이크로서비스 API,"['express', 'javascript', 'node.js', 'mongodb']","['docker', 'gin', 'go', 'grpc', 'postgresql']",[0.0],0.03,0
Node.js 개발자,12,.NET Core 웹 애플리케이션,"['express', 'javascript', 'node.js', 'mongodb']","['.net core', 'azure', 'c#', 'entity framework', 'sql server']",[0.0],0.03,0
Node.js 개발자,13,Laravel CMS 시스템,"['express', 'javascript', 'node.js', 'mongodb']","['blade', 'eloquent orm', 'laravel', 'mysql', 'php']",[0.0],0.03,0
Node.js 개발자,14,Rust 고성능 웹서버,"['express', 'javascript', 'node.js', 'mongodb']","['actix web', 'diesel', 'postgresql', 'redis', 'rust']",[0.0],0.03,0
Node.js 개발자,15,Unity 2D 인디게임,"['express', 'javascript', 'node.js', 'mongodb']","['blender', 'c#', 'unity', 'visual scripting']",[0.0],0.03,0
Node.js 개발자,16,Kubernetes 클러스터 구축,"['express', 'javascript', 'node.js', 'mongodb']","['aws', 'docker', 'jenkins', 'kubernetes', 'terraform']",[0.0],0.03,0
Node.js 개발자,17,Python ML 추천시스템,"['express', 'javascript', 'node.js', 'mongodb']","['fastapi', 'numpy', 'pandas', 'python', 'scikit learn', 'tensorflow']",[0.0],0.03,0
Java Spring 개발자,1,React 기반 쇼핑몰 개발,"['java', 'spring boot', 'postgresql', 'docker']","['express', 'mongodb', 'node.js', 'react', 'typescript']",[0.0],0.03,0
Java Spring 개발자,2,Vue3 + Nuxt 포트폴리오 사이트,"['java', 'spring boot', 'postgresql', 'docker']","['nuxt.js', 'tailwind css', 'typescript', 'vue.js']",[0.0],0.03,0
Java Spring 개발자,3,Django REST API 서버 구축,"['java', 'spring boot', 'postgresql', 'docker']","['django', 'docker', 'postgresql', 'python', 'redis']",[0.2857142857142857],0.2991,1
Java Spring 개발자,4,Spring Boot 마이크로서비스,"['java', 'spring boot', 'postgresql', 'docker']","['docker', 'java', 'kubernetes', 'postgresql', 'spring boot']",[0.8],0.6663,1
Java Spring 개발자,5,Node.js 실시간 채팅 앱,"['java', 'spring boot', 'postgresql', 'docker']","['express', 'mongodb', 'node.js', 'redis', 'socket.io']",[0.0],0.03,0
Java Spring 개발자,6,React Native 투두 앱,"['java', 'spring boot', 'postgresql', 'docker']","['expo', 'firebase', 'react native', 'typescript']",[0.0],0.03,0
Java Spring 개발자,7,Flutter 전자상거래 앱,"['java', 'spring boot', 'postgresql', 'docker']","['dart', 'firebase', 'flutter', 'sqlite']",[0.0],0.03,0
Java Spring 개발자,8,FastAPI 비동기 웹서버,"['java', 'spring boot', 'postgresql', 'docker']","['fastapi', 'postgresql', 'python', 'redis', 'sqlalchemy']",[0.125],0.1608,1
Java Spring 개발자,9,Angular 관리자 대시보드,"['java', 'spring boot', 'postgresql', 'docker']","['angular', 'chart.js', 'material ui', 'rxjs', 'typescript']",[0.0],0.03,0
Java Spring 개발자,10,SvelteKit 블로그 플랫폼,"['java', 'spring boot', 'postgresql', 'docker']","['prisma', 'sqlite', 'svelte', 'sveltekit', 'typescript']",[0.0],0.03,0
Java Spring 개발자,11,Go 마이크로서비스 API,"['java', 'spring boot', 'postgresql', 'docker']","['docker', 'gin', 'go', 'grpc', 'postgresql']",[0.2857142857142857],0.2991,1
Java Spring 개발자,12,.NET Core 웹 애플리케이션,"['java', 'spring boot', 'postgresql', 'docker']","['.net core', 'azure', 'c#', 'entity framework', 'sql server']",[0.0],0.03,0
Java Spring 개발자,13,Laravel CMS 시스템,"['java', 'spring boot', 'postgresql', 'docker']","['blade', 'eloquent orm', 'laravel', 'mysql', 'php']",[0.0],0.03,0
Java Spring 개발자,14,Rust 고성능 웹서버,"['java', 'spring boot', 'postgresql', 'docker']","['actix web', 'diesel', 'postgresql', 'redis', 'rust']",[0.125],0.1608,1
Java Spring 개발자,15,Unity 2D 인디게임,"['java', 'spring boot', 'postgresql', 'docker']","['blender', 'c#', 'unity', 'visual scripting']",[0.0],0.03,0
Java Spring 개발자,16,Kubernetes 클러스터 구축,"['java', 'spring boot', 'postgresql', 'docker']","['aws', 'docker', 'jenkins', 'kubernetes', 'terraform']",[0.125],0.1541,1
Java Spring 개발자,17,Python ML 추천시스템,"['java', 'spring boot', 'postgresql', 'docker']","['fastapi', 'numpy', 'pandas', 'python', 'scikit learn', 'tensorflow']",[0.0],0.03,0
MERN 스택,1,React 기반 쇼핑몰 개발,"['javascript', 'node.js', 'react', 'express', 'mongodb']","['express', 'mongodb', 'node.js', 'react', 'typescript']",[0.6666666666666666],0.5787,1
MERN 스택,2,Vue3 + Nuxt 포트폴리오 사이트,"['javascript', 'node.js', 'react', 'express', 'mongodb']","['nuxt.js', 'tailwind css', 'typescript', 'vue.js']",[0.0],0.03,0
MERN 스택,3,Django REST API 서버 구축,"['javascript', 'node.js', 'react', 'express', 'mongodb']","['django', 'docker', 'postgresql', 'python', 'redis']",[0.0],0.03,0
